Problem	Scoring	Rubric	briscob1	davidsjr	fowlera1	gishbd	hant1	harreln	hornecg	hoy	jacobsse	kellerns	lih2	lix10	max	mutchlam	mutchldk	niz1	omoteso	plutajm	rockentj	rostrodj	taylorz1	wangh6	wilkinjf	xiy	xut1	yaoq	zhongs		
testProblem1a																															
Points available:	15	Not yet graded																													
	-15	Has no tests.  [A call to problem1a whose expected result is NOT shown is NOT a test.]																													
	-10	Fails to include a test other than ones that we supplied.  [A call to problem1a  whose expected result is either not shown or does not appear to have been computed by hand is NOT a test.]	0		0	-10	0				-10	0	-10	-10						-10					-10						
	-10	"Fails to include at least 4 additional tests (beyond the one that they devised).  These tests can be either ours, or tests of their own whose expected result could reasonably have been computed by hand).  [-1 for one missing test (presumably an oversight), -3 for each additional missing test.]"																													
	-3	"All tests are weak tests.  [Our tests are NOT weak, so they cannot lose these points if they use our tests.]"																													
	0	"See me re:  why the ""test"" that you supplied is not really a test."																													
	0	"Don't put code ABOVE the green doc-string.  That will cause the DOT trick to fail sometimes.  Instead, just minimize the green doc-string.  See me for details."																													
	0	"See me for why saying ""approximately"" is wrong here."																													
	0	"See  me re:  When we supply strong tests (as here), be sure to include them."															0														
	0	See me re:																													
		Points earned (of 15) on testProblem1a	15	15	15	5	15	15	15	15	5	15	5	5	15	15	15	15	15	5	15	15	15	15	5	15	15	15	15		
																															
problem1a																															
Points available:	10	Not yet graded																													
	-10	Way off																													
	-2	Range is off by 1																													
	-5	"Range is wrong (that is, it is off by more than 1)"																													
	-2	Argument to is_prime is off by 1																													
	-5	"Argument to is_prime is wrong (that is, it is off by more than 1)"																													
	-5	Summing is wrong [but only -3 if the only error is failing to initialize to 0]																													
	-3	IF statement is wrong																													
	-3	Fails to return a value (or returns a wrong value with all else correct)																													
	0	See me re:  Reassigns a parameter																													
	0	See me re: uses sum as a variable name					0																				0				
	0	"See me re:  Uses uninformative variable names (that is, names that fail to suggest their purpose).  (Note: loop variables that are single letters are fine.)"																													
	0	See me re:  Uses variable names that begin with an upper-case letter (bad) or use camelCase (violates style)																													
	0	See me re: extra blank lines																													
	0	See me re: ELSE that does nothing													0						0								0		
	0	See me re:  any other warning message																													
	0	See me re:  wildly unnecessary parentheses																													
	0	"See me re:  Range does not include 5**p, do you see why it works anyway?"																													
	0	Your PyDev settings are not PyDev120 settings.  That is causing you to violate many of our code standards.  See me so that I can help you fix this (it's easy).																													
	0	"See me re:  overuse of internal comments, and why that may be bad"											0																		
	0	See me re:  You used IS correctly.  Do you know when you must NOT use IS?																													
	0	See me re:  unnecessary == True	0		0	0	0			0	0	0	0	0			0	0			0		0		0		0		0		
	0	See me re wrongly testing preconditions									0		0							0											
	0	See me re:																													
		Points earned (of 10) on problem1a	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10		
																															
problem1b																															
Points available:	5	Not yet graded																													
	-5	Way off																													
	-5	Fails to return a value																													
	-3	Returns strings instead of booleans																													
	-3	Reverses True/False in the return statement(s)																													
	-2	Returns True if the sum is ODD (instead of PRIME)																									-2				
	-2	Fails to call problem1a	-2			-2		-2	-2		-2				-2		-2				-2		-2				-2		-2		
	-2	"Passes all the tests, but uses a loop unnecessarily"																													
	-2	"Passes all the tests, but uses something else extraneous to the problem"																													
	-1	"Passes all the tests, but uses IF .. IF (instead of IF .. ELSE)."																													
	1	"Returns a boolean expression (i.e., is correct without using an IF..) [BONUS point]"	1			1								1		1		1	1		1	1		1		1		1			
	0	See me re:  Uses IF-ELSE instead of just returning a boolean expression		0	0		0	0	0	0	0	0	0		0		0			0			0		0		0		0		
	0	See me re:  Uses if … return    … .return  pattern instead of if…else…							0																0						
	0	See me re:  any warning message																													
	0	See me re:																													
		Points earned (of 5) on problem1b	4	5	5	4	5	3	3	5	3	5	5	6	3	6	3	6	6	5	4	6	3	6	5	6	1	6	3		
																															
problem1c																															
Points available:	10	Not yet graded																													
	-10	Way off																													
	-2	Range is off by 1																													
	-5	"Range is wrong (that is, it is off by more than 1)"																													
	-1	Argument to is_prime is off by 1																													
	-1	Argument to is_palindromeis off by 1																													
	-1	Calculation of the product is INSIDE a loop (needlessly)																									-1				
	-5	"Counting for is_prime is wrong (that is, not merely off-by-one)"																													
	-5	"Counting for is_palindrome is wrong (that is, not merely off-by-one)"																													
	-3	Fails to return a value (or returns a wrong value with all else correct)																													
	0	See me re:  Reassigns a parameter																													
	0	See me re: uses sum as a variable name																													
